id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
520,2015,Pune,2015-04-10,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,26,0,Jp Faulkner,Maharashtra Cricket Association Stadium,Sd Fry,Cb Gaffaney,Target is defended,Neutral
521,2015,Chennai,2015-04-11,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,45,0,Bb Mccullum,"Ma Chidambaram Stadium, Chepauk",Rk Illingworth,Va Kulkarni,Target is defended,Team1 Home
522,2015,Kolkata,2015-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,Ch Gayle,Eden Gardens,S Ravi,C Shamshuddin,Target is chased,Team1 Home
523,2015,Delhi,2015-04-12,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,Dj Hooda,Feroz Shah Kotla,Sd Fry,Cb Gaffaney,Target is chased,Team1 Home
524,2015,Mumbai,2015-04-12,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,18,0,Gj Bailey,Wankhede Stadium,Ak Chaudhary,K Srinivasan,Target is defended,Team2 Home
525,2015,Bangalore,2015-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Da Warner,M Chinnaswamy Stadium,Rm Deshpande,Rk Illingworth,Target is chased,Team1 Home
526,2015,Ahmedabad,2015-04-14,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,7,Spd Smith,"Sardar Patel Stadium, Motera",Ak Chaudhary,Sd Fry,Target is chased,Neutral
527,2015,Kolkata,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Ad Russell,Eden Gardens,Ak Chaudhary,M Erasmus,Target is chased,Team2 Home
528,2015,Pune,2015-04-15,Kings Xi Punjab,Delhi Daredevils,Kings Xi Punjab,bat,normal,0,Delhi Daredevils,0,5,Ma Agarwal,Maharashtra Cricket Association Stadium,Cb Gaffaney,K Srinath,Target is chased,Neutral
529,2015,Visakhapatnam,2015-04-16,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Am Rahane,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Pg Pathak,S Ravi,Target is chased,Neutral
530,2015,Mumbai,2015-04-17,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,Ak Chaudhary,M Erasmus,Target is chased,Team1 Home
531,2015,Visakhapatnam,2015-04-18,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Delhi Daredevils,4,0,Jp Duminy,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Pg Pathak,S Ravi,Target is defended,Neutral
532,2015,Pune,2015-04-18,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,Ad Russell,Maharashtra Cricket Association Stadium,Sd Fry,Ck Nandan,Target is chased,Neutral
533,2015,Ahmedabad,2015-04-19,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,Am Rahane,"Sardar Patel Stadium, Motera",Ak Chaudhary,M Erasmus,Target is chased,Neutral
534,2015,Bangalore,2015-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium,Rk Illingworth,Va Kulkarni,Target is defended,Team2 Home
535,2015,Delhi,2015-04-20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Ut Yadav,Feroz Shah Kotla,Sd Fry,Cb Gaffaney,Target is chased,Team1 Home
536,2015,Ahmedabad,2015-04-21,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,tie,0,Kings Xi Punjab,0,0,Se Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,Tie/No Result,Neutral
537,2015,Visakhapatnam,2015-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Sunrisers Hyderabad,16,0,Da Warner,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Rk Illingworth,Va Kulkarni,Target is defended,Neutral
538,2015,Bangalore,2015-04-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,27,0,Sk Raina,M Chinnaswamy Stadium,Jd Cloete,C Shamshuddin,Target is defended,Team2 Home
539,2015,Delhi,2015-04-23,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,37,0,Ss Iyer,Feroz Shah Kotla,Sd Fry,Ck Nandan,Target is defended,Team1 Home
540,2015,Ahmedabad,2015-04-24,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,Ma Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,Target is chased,Neutral
541,2015,Mumbai,2015-04-25,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,20,0,Sl Malinga,Wankhede Stadium,Hdpk Dharmasena,Cb Gaffaney,Target is defended,Team1 Home
542,2015,Chennai,2015-04-25,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,97,0,Bb Mccullum,"Ma Chidambaram Stadium, Chepauk",Jd Cloete,C Shamshuddin,Target is defended,Team1 Home
543,2015,Delhi,2015-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,Vr Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,Target is chased,Team1 Home
544,2015,Chandigarh,2015-04-27,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Sunrisers Hyderabad,20,0,Ta Boult,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Cb Gaffaney,Target is defended,Neutral
545,2015,Kolkata,2015-05-07,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,13,0,Pp Chawla,Eden Gardens,Ak Chaudhary,M Erasmus,Target is defended,Team1 Home
546,2015,Bangalore,2015-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,Unknown,0,0,Unknown,M Chinnaswamy Stadium,Jd Cloete,Pg Pathak,Tie/No Result,Team1 Home
547,2015,Chennai,2015-04-28,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,2,0,Dj Bravo,"Ma Chidambaram Stadium, Chepauk",Rm Deshpande,Va Kulkarni,Target is defended,Team1 Home
548,2015,Delhi,2015-05-01,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,9,Nm Coulter-Nile,Feroz Shah Kotla,Rk Illingworth,S Ravi,Target is chased,Team2 Home
549,2015,Mumbai,2015-05-01,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,8,0,At Rayudu,Wankhede Stadium,Hdpk Dharmasena,Ck Nandan,Target is defended,Team1 Home
550,2015,Bangalore,2015-05-02,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium,Jd Cloete,Pg Pathak,Target is chased,Team2 Home
551,2015,Hyderabad,2015-05-02,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Sunrisers Hyderabad,22,0,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,K Srinivasan,Target is defended,Team1 Home
552,2015,Chandigarh,2015-05-03,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Mumbai Indians,23,0,Lmp Simmons,"Punjab Cricket Association Stadium, Mohali",Rk Illingworth,Va Kulkarni,Target is defended,Neutral
553,2015,Mumbai,2015-05-03,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,14,0,Am Rahane,Brabourne Stadium,Hdpk Dharmasena,Cb Gaffaney,Target is defended,Neutral
554,2015,Chennai,2015-05-04,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath,Target is defended,Team1 Home
555,2015,Kolkata,2015-05-04,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,35,0,Ut Yadav,Eden Gardens,Ak Chaudhary,M Erasmus,Target is defended,Team1 Home
556,2015,Mumbai,2015-05-05,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Mumbai Indians,0,5,Harbhajan Singh,Wankhede Stadium,Hdpk Dharmasena,Cb Gaffaney,Target is chased,Team2 Home
557,2015,Bangalore,2015-05-06,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Royal Challengers Bangalore,138,0,Ch Gayle,M Chinnaswamy Stadium,Rk Illingworth,Va Kulkarni,Target is defended,Team1 Home
558,2015,Mumbai,2015-05-07,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,7,0,Ejg Morgan,Brabourne Stadium,Jd Cloete,C Shamshuddin,Target is defended,Neutral
559,2015,Chennai,2015-05-08,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Mumbai Indians,0,6,Hh Pandya,"Ma Chidambaram Stadium, Chepauk",Cb Gaffaney,Ck Nandan,Target is chased,Team1 Home
560,2015,Kolkata,2015-05-09,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kolkata Knight Riders,0,1,Ad Russell,Eden Gardens,Ak Chaudhary,Hdpk Dharmasena,Target is chased,Team2 Home
561,2015,Raipur,2015-05-09,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,6,0,Mc Henriques,Shaheed Veer Narayan Singh International Stadium,Va Kulkarni,S Ravi,Target is defended,Neutral
562,2015,Mumbai,2015-05-10,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,39,0,Ab De Villiers,Wankhede Stadium,Jd Cloete,C Shamshuddin,Target is defended,Team2 Home
563,2015,Chennai,2015-05-10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,12,0,Ra Jadeja,"Ma Chidambaram Stadium, Chepauk",M Erasmus,Ck Nandan,Target is defended,Team1 Home
564,2015,Hyderabad,2015-05-11,Sunrisers Hyderabad,Kings Xi Punjab,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,5,0,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Hdpk Dharmasena,Target is defended,Team1 Home
565,2015,Raipur,2015-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,Rk Illingworth,Va Kulkarni,Target is chased,Neutral
566,2015,Chandigarh,2015-05-13,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings Xi Punjab,22,0,Ar Patel,"Punjab Cricket Association Stadium, Mohali",Jd Cloete,C Shamshuddin,Target is defended,Neutral
567,2015,Mumbai,2015-05-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,5,0,Hh Pandya,Wankhede Stadium,Rk Illingworth,Va Kulkarni,Target is defended,Team1 Home
568,2015,Hyderabad,2015-05-15,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,1,Royal Challengers Bangalore,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Hdpk Dharmasena,Target is chased,Team1 Home
569,2015,Chandigarh,2015-05-16,Kings Xi Punjab,Chennai Super Kings,Kings Xi Punjab,bat,normal,0,Chennai Super Kings,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali",Ck Nandan,C Shamshuddin,Target is chased,Neutral
570,2015,Mumbai,2015-05-16,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,9,0,Sr Watson,Brabourne Stadium,Rm Deshpande,Rk Illingworth,Target is defended,Neutral
571,2015,Bangalore,2015-05-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,0,Unknown,0,0,Unknown,M Chinnaswamy Stadium,Hdpk Dharmasena,K Srinivasan,Tie/No Result,Team2 Home
572,2015,Hyderabad,2015-05-17,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,9,Mj Mcclenaghan,"Rajiv Gandhi International Stadium, Uppal",Cb Gaffaney,K Srinath,Target is chased,Team1 Home
573,2015,Mumbai,2015-05-19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,Ka Pollard,Wankhede Stadium,Hdpk Dharmasena,Rk Illingworth,Target is defended,Team1 Home
574,2015,Pune,2015-05-20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,71,0,Ab De Villiers,Maharashtra Cricket Association Stadium,Ak Chaudhary,C Shamshuddin,Target is defended,Neutral
575,2015,Ranchi,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,3,A Nehra,Jsca International Stadium Complex,Ak Chaudhary,Cb Gaffaney,Target is chased,Neutral
576,2015,Kolkata,2015-05-24,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,41,0,Rg Sharma,Eden Gardens,Hdpk Dharmasena,Rk Illingworth,Target is defended,Neutral
577,2016,Mumbai,2016-04-09,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,normal,0,Rising Pune Supergiants,0,9,Am Rahane,Wankhede Stadium,Hdpk Dharmasena,Ck Nandan,Target is chased,Team1 Home
578,2016,Kolkata,2016-04-10,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,Ad Russell,Eden Gardens,S Ravi,C Shamshuddin,Target is chased,Team2 Home
579,2016,Chandigarh,2016-04-11,Kings Xi Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,5,Aj Finch,"Punjab Cricket Association Is Bindra Stadium, Mohali",Ak Chaudhary,Va Kulkarni,Target is chased,Neutral
580,2016,Bangalore,2016-04-12,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,45,0,Ab De Villiers,M Chinnaswamy Stadium,Hdpk Dharmasena,Vk Sharma,Target is defended,Team1 Home
581,2016,Kolkata,2016-04-13,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Rg Sharma,Eden Gardens,Nitin Menon,S Ravi,Target is chased,Team1 Home
582,2016,Rajkot,2016-04-14,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,normal,0,Gujarat Lions,0,7,Aj Finch,Saurashtra Cricket Association Stadium,Va Kulkarni,Ck Nandan,Target is chased,Neutral
583,2016,Delhi,2016-04-15,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin,Target is chased,Team2 Home
584,2016,Hyderabad,2016-04-16,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Ck Nandan,Target is chased,Team1 Home
585,2016,Mumbai,2016-04-16,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,3,Aj Finch,Wankhede Stadium,Hdpk Dharmasena,Vk Sharma,Target is chased,Team1 Home
586,2016,Chandigarh,2016-04-17,Rising Pune Supergiants,Kings Xi Punjab,Rising Pune Supergiants,bat,normal,0,Kings Xi Punjab,0,6,M Vohra,"Punjab Cricket Association Is Bindra Stadium, Mohali",S Ravi,C Shamshuddin,Target is chased,Neutral
587,2016,Bangalore,2016-04-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,Q De Kock,M Chinnaswamy Stadium,Va Kulkarni,A Nand Kishore,Target is chased,Team1 Home
588,2016,Hyderabad,2016-04-18,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,7,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Vk Sharma,Target is chased,Team2 Home
589,2016,Chandigarh,2016-04-19,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Rv Uthappa,"Punjab Cricket Association Is Bindra Stadium, Mohali",S Ravi,C Shamshuddin,Target is chased,Neutral
590,2016,Mumbai,2016-04-20,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Rg Sharma,Wankhede Stadium,Ak Chaudhary,Ck Nandan,Target is chased,Team2 Home
591,2016,Rajkot,2016-04-21,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,10,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,Hdpk Dharmasena,Target is chased,Neutral
592,2016,Pune,2016-04-22,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Royal Challengers Bangalore,13,0,Ab De Villiers,Maharashtra Cricket Association Stadium,Cb Gaffaney,Vk Sharma,Target is defended,Team2 Home
593,2016,Delhi,2016-04-23,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,10,0,Sv Samson,Feroz Shah Kotla,S Ravi,C Shamshuddin,Target is defended,Team1 Home
594,2016,Hyderabad,2016-04-23,Kings Xi Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Ck Nandan,Target is chased,Team2 Home
595,2016,Rajkot,2016-04-24,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,normal,0,Gujarat Lions,0,6,V Kohli,Saurashtra Cricket Association Stadium,K Bharatan,Bnj Oxenford,Target is chased,Neutral
596,2016,Pune,2016-04-24,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,2,Sa Yadav,Maharashtra Cricket Association Stadium,Cb Gaffaney,A Nand Kishore,Target is chased,Team1 Home
597,2016,Chandigarh,2016-04-25,Mumbai Indians,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Mumbai Indians,25,0,Pa Patel,"Punjab Cricket Association Is Bindra Stadium, Mohali",Nitin Menon,Rj Tucker,Target is defended,Neutral
598,2016,Hyderabad,2016-04-26,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,1,Rising Pune Supergiants,34,0,Ab Dinda,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,Ck Nandan,Target is defended,Team1 Home
599,2016,Delhi,2016-04-27,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Gujarat Lions,1,0,Ch Morris,Feroz Shah Kotla,M Erasmus,S Ravi,Target is defended,Team2 Home
600,2016,Mumbai,2016-04-28,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Rg Sharma,Wankhede Stadium,Nitin Menon,Rj Tucker,Target is chased,Team2 Home
601,2016,Pune,2016-04-29,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,3,Dr Smith,Maharashtra Cricket Association Stadium,Cb Gaffaney,Bnj Oxenford,Target is chased,Team1 Home
602,2016,Delhi,2016-04-30,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Daredevils,27,0,Cr Brathwaite,Feroz Shah Kotla,Kn Ananthapadmanabhan,M Erasmus,Target is defended,Team1 Home
603,2016,Hyderabad,2016-04-30,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,15,0,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Hdpk Dharmasena,Target is defended,Team1 Home
604,2016,Rajkot,2016-05-01,Kings Xi Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings Xi Punjab,23,0,Ar Patel,Saurashtra Cricket Association Stadium,Bnj Oxenford,Vk Sharma,Target is defended,Neutral
605,2016,Pune,2016-05-01,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Rg Sharma,Maharashtra Cricket Association Stadium,Ay Dandekar,Rj Tucker,Target is chased,Team1 Home
606,2016,Bangalore,2016-05-02,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,Ad Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,Target is chased,Team1 Home
607,2016,Rajkot,2016-05-03,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,Rr Pant,Saurashtra Cricket Association Stadium,Cb Gaffaney,Bnj Oxenford,Target is chased,Neutral
608,2016,Kolkata,2016-05-04,Kolkata Knight Riders,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kolkata Knight Riders,7,0,Ad Russell,Eden Gardens,Ak Chaudhary,Hdpk Dharmasena,Target is defended,Team1 Home
609,2016,Delhi,2016-05-05,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,7,Am Rahane,Feroz Shah Kotla,C Shamshuddin,Rj Tucker,Target is chased,Team1 Home
610,2016,Hyderabad,2016-05-06,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,B Kumar,"Rajiv Gandhi International Stadium, Uppal",M Erasmus,S Ravi,Target is chased,Team2 Home
611,2016,Bangalore,2016-05-07,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,Cb Gaffaney,Bnj Oxenford,Target is chased,Team2 Home
612,2016,Chandigarh,2016-05-07,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings Xi Punjab,9,0,Mp Stoinis,"Punjab Cricket Association Is Bindra Stadium, Mohali",Hdpk Dharmasena,Ck Nandan,Target is defended,Neutral
613,2016,Visakhapatnam,2016-05-08,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,85,0,A Nehra,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,S Ravi,C Shamshuddin,Target is defended,Neutral
614,2016,Kolkata,2016-05-08,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,5,P Kumar,Eden Gardens,M Erasmus,Rj Tucker,Target is chased,Team1 Home
615,2016,Chandigarh,2016-05-09,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Royal Challengers Bangalore,1,0,Sr Watson,"Punjab Cricket Association Is Bindra Stadium, Mohali",Ak Chaudhary,Hdpk Dharmasena,Target is defended,Neutral
616,2016,Visakhapatnam,2016-05-10,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,A Zampa,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Cb Gaffaney,Vk Sharma,Target is defended,Neutral
617,2016,Bangalore,2016-05-11,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Kh Pandya,M Chinnaswamy Stadium,Ay Dandekar,C Shamshuddin,Target is chased,Team1 Home
618,2016,Hyderabad,2016-05-12,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,Ch Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus,Target is chased,Team1 Home
619,2016,Visakhapatnam,2016-05-13,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Kings Xi Punjab,0,7,Mp Stoinis,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Hdpk Dharmasena,Ck Nandan,Target is chased,Neutral
620,2016,Bangalore,2016-05-14,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,144,0,Ab De Villiers,M Chinnaswamy Stadium,Ay Dandekar,Vk Sharma,Target is defended,Team1 Home
621,2016,Kolkata,2016-05-14,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,normal,1,Kolkata Knight Riders,0,8,Yk Pathan,Eden Gardens,A Nand Kishore,Bnj Oxenford,Target is chased,Team2 Home
622,2016,Chandigarh,2016-05-15,Kings Xi Punjab,Sunrisers Hyderabad,Kings Xi Punjab,bat,normal,0,Sunrisers Hyderabad,0,7,Hm Amla,"Punjab Cricket Association Is Bindra Stadium, Mohali",Kn Ananthapadmanabhan,M Erasmus,Target is chased,Neutral
623,2016,Visakhapatnam,2016-05-15,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,80,0,Kh Pandya,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Nitin Menon,Ck Nandan,Target is defended,Neutral
624,2016,Kolkata,2016-05-16,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,V Kohli,Eden Gardens,Cb Gaffaney,A Nand Kishore,Target is chased,Team1 Home
625,2016,Visakhapatnam,2016-05-17,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,1,Rising Pune Supergiants,19,0,Ab Dinda,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Nitin Menon,C Shamshuddin,Target is defended,Neutral
626,2016,Bangalore,2016-05-18,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,1,Royal Challengers Bangalore,82,0,V Kohli,M Chinnaswamy Stadium,Kn Ananthapadmanabhan,M Erasmus,Target is defended,Team1 Home
627,2016,Kanpur,2016-05-19,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,Dr Smith,Green Park,Ak Chaudhary,Ck Nandan,Target is chased,Neutral
